"gene","samplename","normalized_counts","group"
"ENSG00000250920","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000260887","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000266976","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000269586","TCGA-CU-A0YN-11A-11R-A10U-07",3.68320245492119,"Normal"
"ENSG00000101441","TCGA-GV-A3QH-01A-11R-A220-07",4.37845432226009,"Tumor"
"ENSG00000123500","TCGA-GV-A3QH-01A-11R-A220-07",4.37845432226009,"Tumor"
"ENSG00000126890","TCGA-GV-A3QH-01A-11R-A220-07",4.74650455043904,"Tumor"
"ENSG00000145321","TCGA-GV-A3QH-01A-11R-A220-07",5.49670308471031,"Tumor"
"ENSG00000159217","TCGA-GV-A3QH-01A-11R-A220-07",8.51041921504154,"Tumor"
"ENSG00000163586","TCGA-GV-A3QH-01A-11R-A220-07",6.79691213643536,"Tumor"
"ENSG00000167754","TCGA-GV-A3QH-01A-11R-A220-07",3.99652984825035,"Tumor"
"ENSG00000170373","TCGA-GV-A3QH-01A-11R-A220-07",7.25123002581813,"Tumor"
"ENSG00000171560","TCGA-GV-A3QH-01A-11R-A220-07",4.22380034343402,"Tumor"
"ENSG00000171564","TCGA-GV-A3QH-01A-11R-A220-07",5.47537048708096,"Tumor"
"ENSG00000181433","TCGA-GV-A3QH-01A-11R-A220-07",8.62833961432812,"Tumor"
"ENSG00000184330","TCGA-GV-A3QH-01A-11R-A220-07",3.99652984825035,"Tumor"
"ENSG00000185479","TCGA-GV-A3QH-01A-11R-A220-07",4.22380034343402,"Tumor"
"ENSG00000186847","TCGA-GV-A3QH-01A-11R-A220-07",6.17121492107814,"Tumor"
"ENSG00000187172","TCGA-GV-A3QH-01A-11R-A220-07",4.5027547769022,"Tumor"
"ENSG00000203857","TCGA-GV-A3QH-01A-11R-A220-07",5.55856746741633,"Tumor"
"ENSG00000204019","TCGA-GV-A3QH-01A-11R-A220-07",3.68320245492119,"Tumor"
"ENSG00000228437","TCGA-GV-A3QH-01A-11R-A220-07",7.1427668533138,"Tumor"
"ENSG00000229035","TCGA-GV-A3QH-01A-11R-A220-07",3.68320245492119,"Tumor"
"ENSG00000233532","TCGA-GV-A3QH-01A-11R-A220-07",3.99652984825035,"Tumor"
"ENSG00000237412","TCGA-GV-A3QH-01A-11R-A220-07",3.99652984825035,"Tumor"
"ENSG00000250920","TCGA-GV-A3QH-01A-11R-A220-07",4.97188048894099,"Tumor"
"ENSG00000260887","TCGA-GV-A3QH-01A-11R-A220-07",7.05227469213864,"Tumor"
"ENSG00000266976","TCGA-GV-A3QH-01A-11R-A220-07",9.54241596007955,"Tumor"
"ENSG00000269586","TCGA-GV-A3QH-01A-11R-A220-07",6.76454534162342,"Tumor"
"ENSG00000101441","TCGA-ZF-A9RD-01A-11R-A42T-07",4.25007704806307,"Tumor"
"ENSG00000123500","TCGA-ZF-A9RD-01A-11R-A42T-07",7.33336737670447,"Tumor"
